User_ID,Gender,Age,Location,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Points_Rank,Last_login,Member_since,Number_of_Comments_in_public_forum,Time_spent_chating_H:M,Number_of_advertisments_posted,Number_of_offline_meetings_attended,Profile_pictures,Risk
10386,male,34,A,Non_Verified,Homosexual,Switch,Men,50,10,17.9.2012,32,0:02:00,0,0,0,N
14,male,32,J,Non_Verified,Heterosexual,Dominant,Women,518,1,1.11.2009,710,3:45:00,9,0,0,N
16721,male,33,K,Non_Verified,Heterosexual,Dominant,Women,150,3,1.4.2013,25,2:15:00,1,1,45,N
16957,male,34,H,Non_Verified,Heterosexual,Dominant,Women,114,4,8.4.2013,107,359:22:00,1,0,1,N
17125,male,39,B,Non_Verified,Heterosexual,Dominant,Women,497,5,14.4.2013,600,0:21:00,0,6,8,N
17220,female,47,A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,127,1,19.4.2013,159,8:16:52,1,9,0,N
1726,male,36,B,Non_Verified,bicurious,Submisive,Women,18,1,16.10.2010,1,122:20:00,17,0,0,N
1750,male,51,L,Non_Verified,Heterosexual,Dominant,Nobody,38,9,22.10.2010,91,0:05:00,0,0,2,N
18162,female,29,A,Non_Verified,bicurious,Submisive,Nobody_but_maybe,150,4,23.5.2013,278,84:19:00,0,3,4,N
18820,male,28,J,Non_Verified,Heterosexual,Switch,Women,-26,1,12.6.2013,4,3:23:00,0,0,0,N
19437,male,42,A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,15,1,7.7.2013,0,2:02:00,0,0,0,N
19732,female,45,A,Non_Verified,Heterosexual,Submisive,Nobody,36,3,17.7.2013,47,331:18:00,0,11,0,N
19781,male,36,F,Non_Verified,Heterosexual,Switch,Women,30,1,19.7.2013,0,139:53:00,0,0,0,N
19805,male,42,H,Verified,Heterosexual,Dominant,Nobody_but_maybe,313,1,20.7.2013,51,508:08:00,0,5,0,N
19990,male,36,E,Non_Verified,Heterosexual,Submisive,Women,0,62,28.7.2013,0,45:24:00,0,0,0,N
20926,male,30,A,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,15,1,2.9.2013,0,10:41:00,0,0,0,N
21471,male,33,B,Verified,Heterosexual,Dominant,Women,155,3,26.9.2013,59,0:00:00,1,0,0,N
